Epithelial,Immune/B Cell,Immune/Dendritic,Immune/Dendritic/Plasmacytoid,Immune/Macrophage,Immune/Monocyte,Immune/Mast,Immune/Myeoid,Immune/NK,Immune/Plasma,Immune/T Cell,Stromal/Endothelial,Stromal/Fibroblast,Stromal/Pericyte,Stromal/Smooth Muscle,Stromal/Various,Cycling
EPCAM,SELL,VCAN,LILRA4,C1QA,SDS,TPSAB1,CCR7,NKG7,JCHAIN,CD3E,PECAM1,PRG4,RGS5,MYL9,TOP2A,TOP2A
TRPM5,CD19,LYZ,SPN,C1QB,C15orf48,CPA3,OSM,XCL1,SSR4,CD3D,PLVAP,KRT7,HIGD1B,ACTA2,XCR1,MKI67
TNFRSF11A,AICDA,CD1C,GNA15,C1QC,FNIP2,TPSB2,CCL3,XCL2,MZB1,CD3G,VWF,KRT19,COX4I2,,WNT5B,STMN1
TFF1,MS4A1,CD1E,CLEC4C,CD14,S100A8,HPGDS,CCL4,KLRB1,CD79A,TRAC,CCL21,CFB,PDGFRB,,SOX10,TUBB
SLC26A3,LTB,CLEC9A,TCF4,TYROBP,S100A9,MS4A2,PTPRC,KLRC1,CD79B,IL32,LYVE1,COL3A1,,,S100B,
MUC2,CD79A,CLEC10A,PLAC8,CD86,CSTB,,,KLRD1,PTPRC,CD4,MMRN1,DCN,,,RSPO3,
LGR5,CD79B,PTPRC,SOX4,APOC1,FCN1,,,PTPRC,,ICOS,ACKR1,LUM,,,WNT2B,
SLC26A2,PTPRC,,CST3,APOE,CST3,,,,,CD8A,CLU,RARRES2,,,VWA1,
SCGN,,,MS4A6A,DAB2,MS4A6A,,,,,CD8B,,,,,TAGLN,
LEFTY1,,,HLA-DPB1,LGMN,HLA-DPB1,,,,,IL2RA,,,,,SOX17,
RBP2,,,PTPRC,CTSD,PTPRC,,,,,FOXP3,,,,,RBP7,
HCK,,,,TREM2,,,,,,CXCR6,,,,,MADCAM1,
FABP1,,,,CD9,,,,,,CLA4,,,,,CD36,
CHGA,,,,FCGR3A,,,,,,CCL5,,,,,CCL11,
CDC25C,,,,PTPRC,,,,,,PTPRC,,,,,CHI3L1,
CA1,,,,,,,,,,CCR7,,,,,CDH5,
BEST4,,,,,,,,,,CD45RA,,,,,CD68,
CCL20,,,,,,,,,,,,,,,,
CCL13,,,,,,,,,,,,,,,,
ASCL2,,,,,,,,,,,,,,,,
CCL7,,,,,,,,,,,,,,,,
